Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Match,Season
League,Virat Kohli,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field first,RCB , 24 runs,Runs,107,70,2013
League,Luke Wright,"Subrata Roy Sahara Stadium, Pune",Pune Warriors,Delhi Daredevils,Pune Warriors,Bat first,Warriors , 38 runs,Runs,173,71,2013
League,Parthiv Patel,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Bat first,SRH , 5 wickets ,Wickets,131,72,2013
Qualifier 1,Michael Hussey,"Feroz Shah Kotla, Delhi",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat first,CSK , 48 runs,Runs,193,73,2013
Eliminator,Brad Hodge,"Feroz Shah Kotla, Delhi",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Bat first,RR , 4 wickets ,Wickets,133,74,2013
Qualifier 2,Harbhajan Singh,"Eden Gardens, Kolkata",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat first,MI , 4 wickets ,Wickets,166,75,2013
Final,Kieron Pollard,"Eden Gardens, Kolkata",Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat first,MI , 23 runs,Runs,149,76,2013
League,Jacques Kallis,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat first,KKR , 41 runs,Runs,164,1,2014
League,Yuzvendra Chahal,Sharjah Cricket Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,RCB , 8 wickets ,Wickets,146,2,2014
League,Glenn Maxwell,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat first,Kings XI , 6 wickets ,Wickets,206,3,2014
League,Ajinkya Rahane,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field first,RR , 4 wickets ,Wickets,134,4,2014
League,Parthiv Patel,Dubai International Cricket Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,RCB , 7 wickets ,Wickets,116,5,2014
League,Jean-Paul Duminy,Dubai International Cricket Stadium,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat first,Daredevils , 4 wickets ,Wickets,167,6,2014
League,Glenn Maxwell,Sharjah Cricket Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field first,Kings XI , 7 wickets ,Wickets,192,7,2014
League,Suresh Raina,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat first,CSK , 93 runs,Runs,178,8,2014
League,Glenn Maxwell,Sharjah Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,Field first,Kings XI , 72 runs,Runs,194,9,2014
League,Ravindra Jadeja,Dubai International Cricket Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field first,CSK , 7 runs,Runs,141,10,2014
League,Chris Lynn,Sharjah Cricket Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,KKR , 2 runs,Runs,151,11,2014
League,Aaron Finch,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Bat first,SRH , 4 runs,Runs,185,12,2014
